                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49660      48188      51234      50480      54571      54761      40911      40060
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14160          2          4          0          0          0          0
       TIMER:      74825      65384      65221      64392      70414      70264      49455      46416
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58204      50054      46383      45732      46356      46899      38752      33149
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49706      48238      51290      50529      54612      54804      40962      40114
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14244          2          4          0          0          0          0
       TIMER:      74891      65427      65268      64427      70472      70307      49507      46467
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58267      50096      46426      45766      46410      46940      38799      33198
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49762      48279      51333      50563      54657      54845      41012      40161
                    CPU0       CPU1       CPU2       CPU3       CPU4       CPU5       CPU6       CPU7       
          HI:      15460      14324          2          4          0          0          0          0
       TIMER:      74954      65484      65315      64481      70532      70344      49558      46517
      NET_TX:        882        701       3705       4955        740        588       3740       2993
      NET_RX:      17634      19480       4332       5733         42         44       2716       2040
       BLOCK:      55935       3085          2          4          0          0      10298      19678
    IRQ_POLL:          0          0          0          0          0          0          0          0
     TASKLET:      13536      34025        396        509        208        128         59          5
       SCHED:      58319      50148      46466      45808      46440      46975      38845      33241
     HRTIMER:          1          0        256        756          0          0        465        308
         RCU:      49816      48327      51379      50613      54713      54881      41063      40210
